PDF路径,TXT路径,状态,页数,字符数,非空白字符,汉字数,替换字符数,说明
1.3_文献不足/补充文献_16篇/PDF全文/26_Lindsey_Smith_Taillie_2020_Experimental_Studies_of_Front_of_Package_Nutrient_Warning_Labels_on_Sugar_Sweetened_Bevera.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/26_Lindsey_Smith_Taillie_2020_Experimental_Studies_of_Front_of_Package_Nutrient_Warning_Labels_on_Sugar_Sweetened_Bevera.pdf.txt,ok,24,141274,81460,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/31_Chuanhui_Liao_2020_Food_Safety_Trust_Risk_Perception_and_Consumers_Response_to_Company_Trust_Repair_Actions_i.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/31_Chuanhui_Liao_2020_Food_Safety_Trust_Risk_Perception_and_Consumers_Response_to_Company_Trust_Repair_Actions_i.pdf.txt,ok,16,90137,57124,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/38_Kim_Mannemar_S_nderskov_2010_The_state_and_consumer_confidence_in_eco_labeling_organic_labeling_in_Denmark_Sweden_The_U.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/38_Kim_Mannemar_S_nderskov_2010_The_state_and_consumer_confidence_in_eco_labeling_organic_labeling_in_Denmark_Sweden_The_U.pdf.txt,ok,11,72218,48110,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/40_John_Coveney_2007_Food_and_trust_in_Australia_building_a_picture.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/40_John_Coveney_2007_Food_and_trust_in_Australia_building_a_picture.pdf.txt,ok,9,76591,38926,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/42_Roberta_Moruzzo_2020_Urban_Consumer_Trust_and_Food_Certifications_in_China.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/42_Roberta_Moruzzo_2020_Urban_Consumer_Trust_and_Food_Certifications_in_China.pdf.txt,ok,14,145346,51921,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/49_杰_蔡_2013_The_Willingness_to_Pay_for_the_Pork_with_Different_Information_of_Traceability_Based_on_BD.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/49_杰_蔡_2013_The_Willingness_to_Pay_for_the_Pork_with_Different_Information_of_Traceability_Based_on_BD.pdf.txt,ok,6,30536,12349,5099,0,
1.3_文献不足/补充文献_16篇/PDF全文/50_颖琦_钟_2012_The_Survey_on_Consumer_s_Risk_Perception_of_Food_Additive_The_Case_of_Suzhou_City_Jiangsu_.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/50_颖琦_钟_2012_The_Survey_on_Consumer_s_Risk_Perception_of_Food_Additive_The_Case_of_Suzhou_City_Jiangsu_.pdf.txt,ok,6,20824,11129,5246,0,
1.3_文献不足/预制菜产业链中消费者知情权的法治保障_杨帆.pdf,_全文文本/1.3_文献不足/预制菜产业链中消费者知情权的法治保障_杨帆.pdf.txt,ok,2,5444,4137,3585,0,
1.3_文献不足/食品安全信息透明度的国内外研究综述_王冀宁.pdf,_全文文本/1.3_文献不足/食品安全信息透明度的国内外研究综述_王冀宁.pdf.txt,ok,6,74693,12364,6630,0,
2.1_信息不对称与信任需求/农产品区域公用品牌建设中的“搭便车”问题——基于数字化追溯、透明和保证体系的治理研究_董银果.pdf,_全文文本/2.1_信息不对称与信任需求/农产品区域公用品牌建设中的“搭便车”问题——基于数字化追溯、透明和保证体系的治理研究_董银果.pdf.txt,ok,21,39317,28319,18768,0,
2.1_信息不对称与信任需求/基于中国情境的食品工业企业信息责任——概念界定、履责行为与影响因素_吴林海.pdf,_全文文本/2.1_信息不对称与信任需求/基于中国情境的食品工业企业信息责任——概念界定、履责行为与影响因素_吴林海.pdf.txt,ok,15,71962,33069,11755,0,
2.1_信息不对称与信任需求/风险、信任与消费者购买意愿恢复——以新发地疫情食品谣言事件为例_于晓华.pdf,_全文文本/2.1_信息不对称与信任需求/风险、信任与消费者购买意愿恢复——以新发地疫情食品谣言事件为例_于晓华.pdf.txt,ok,15,31555,21660,12686,0,
2.2_信息透明与安全判断/“健康优选”还是“营养警告”？营养标签与食品类型对健康消费意愿的影响机制研究_唐一凡.pdf,_全文文本/2.2_信息透明与安全判断/“健康优选”还是“营养警告”？营养标签与食品类型对健康消费意愿的影响机制研究_唐一凡.pdf.txt,ok,20,40291,33017,16957,0,
2.2_信息透明与安全判断/我国乳制品销售环节的食品安全信息透明度的研究_王冀宁.pdf,_全文文本/2.2_信息透明与安全判断/我国乳制品销售环节的食品安全信息透明度的研究_王冀宁.pdf.txt,ok,8,44938,16361,9072,0,
2.2_信息透明与安全判断/食品追溯体系的进展、挑战与展望_马凌云.pdf,_全文文本/2.2_信息透明与安全判断/食品追溯体系的进展、挑战与展望_马凌云.pdf.txt,ok,10,27030,20196,8693,0,
2.3_既有信任与具体判断/互动、认知与制度：绿色农业中的消费者信任建构机制——基于皖南Q县茶产业的案例考察_陈雪婧.pdf,_全文文本/2.3_既有信任与具体判断/互动、认知与制度：绿色农业中的消费者信任建构机制——基于皖南Q县茶产业的案例考察_陈雪婧.pdf.txt,ok,11,53237,21139,14726,0,
2.3_既有信任与具体判断/群发性产品伤害危机诱发消费者品类抵制意愿的机理：广义信任的中介作用_崔保军.pdf,_全文文本/2.3_既有信任与具体判断/群发性产品伤害危机诱发消费者品类抵制意愿的机理：广义信任的中介作用_崔保军.pdf.txt,ok,13,35467,24712,13569,0,
2.4_安全信任与消费决策/从误读到损失：保质期标签对消费者福利的影响研究——基于随机效用最大化和随机后悔最小化方法_李晓磊.pdf,_全文文本/2.4_安全信任与消费决策/从误读到损失：保质期标签对消费者福利的影响研究——基于随机效用最大化和随机后悔最小化方法_李晓磊.pdf.txt,ok,19,51257,28910,14324,0,
2.4_安全信任与消费决策/消费者感知视角下绿色农产品购买意愿的形成机理——基于理性行为理论拓展模型_徐晓鹏.pdf,_全文文本/2.4_安全信任与消费决策/消费者感知视角下绿色农产品购买意愿的形成机理——基于理性行为理论拓展模型_徐晓鹏.pdf.txt,ok,14,61104,26789,13137,0,
2.5_政府监管信任/农牧民乳制品质量安全的风险感知、政府质量监管的信任与购买意向和行为研究_乌云花.pdf,_全文文本/2.5_政府监管信任/农牧民乳制品质量安全的风险感知、政府质量监管的信任与购买意向和行为研究_乌云花.pdf.txt,ok,8,41606,16552,8221,0,
2.5_政府监管信任/消费者信任哪种“外卖”监管_——质量监管、信息获取与网络餐饮食品安全_宁可.pdf,_全文文本/2.5_政府监管信任/消费者信任哪种“外卖”监管_——质量监管、信息获取与网络餐饮食品安全_宁可.pdf.txt,ok,16,42481,22870,13610,0,
2.5_政府监管信任/预制菜产业治理的逻辑转换与路径建构_邱子键.pdf,_全文文本/2.5_政府监管信任/预制菜产业治理的逻辑转换与路径建构_邱子键.pdf.txt,ok,19,33527,24769,15773,0,
P0-1_既有态度信任与新信息判断/企业社会责任与信任修复关系的实证检验_李四兰.pdf,_全文文本/P0-1_既有态度信任与新信息判断/企业社会责任与信任修复关系的实证检验_李四兰.pdf.txt,ok,4,19817,8520,4603,0,
P0-1_既有态度信任与新信息判断/企业社会责任缺失情境下修复策略对消费者品牌信任变化的影响_张宏.pdf,_全文文本/P0-1_既有态度信任与新信息判断/企业社会责任缺失情境下修复策略对消费者品牌信任变化的影响_张宏.pdf.txt,ok,8,88689,17035,8596,0,
P0-1_既有态度信任与新信息判断/决策神经科学视角下负面口碑再传播评估决策机理研究_吴泗宗.pdf,_全文文本/P0-1_既有态度信任与新信息判断/决策神经科学视角下负面口碑再传播评估决策机理研究_吴泗宗.pdf.txt,ok,10,23910,15900,9282,0,
P0-1_既有态度信任与新信息判断/基于食品安全事件异质性的信息扩散过程研究_任建超.pdf,_全文文本/P0-1_既有态度信任与新信息判断/基于食品安全事件异质性的信息扩散过程研究_任建超.pdf.txt,ok,11,845931,22020,10666,0,
P0-1_既有态度信任与新信息判断/消费者正面口碑再传播评估决策机理研究_李杨.pdf,_全文文本/P0-1_既有态度信任与新信息判断/消费者正面口碑再传播评估决策机理研究_李杨.pdf.txt,ok,5,20829,9922,7693,0,
P0-1_既有态度信任与新信息判断/群发性产品伤害危机对品类抵制意愿的影响研究——思维方式的调节作用_崔保军.pdf,_全文文本/P0-1_既有态度信任与新信息判断/群发性产品伤害危机对品类抵制意愿的影响研究——思维方式的调节作用_崔保军.pdf.txt,ok,9,86733,18367,10908,0,
P0-1_既有态度信任与新信息判断/食品召回策略对信任和购买意愿的影响_王晓妍.pdf,_全文文本/P0-1_既有态度信任与新信息判断/食品召回策略对信任和购买意愿的影响_王晓妍.pdf.txt,ok,10,48058,21990,10042,0,
P0-1_既有态度信任与新信息判断/食品安全风险伤害与风险交流对消费者风险感知的综合影响——以跨境电商为例_张蓓.pdf,_全文文本/P0-1_既有态度信任与新信息判断/食品安全风险伤害与风险交流对消费者风险感知的综合影响——以跨境电商为例_张蓓.pdf.txt,ok,9,23919,16706,10467,0,
P0-2D_信息过载与线索稀释/Consumer effects of front-of-package nutrition labeling - an interdisciplinary meta-analysis_2019.pdf,_全文文本/P0-2D_信息过载与线索稀释/Consumer effects of front-of-package nutrition labeling - an interdisciplinary meta-analysis_2019.pdf.txt,ok,24,168274,98932,0,0,
P0-2D_信息过载与线索稀释/Making sense of the clean label trends - A review of consumer food choice behavior_2017.pdf,_全文文本/P0-2D_信息过载与线索稀释/Making sense of the clean label trends - A review of consumer food choice behavior_2017.pdf.txt,ok,83,186077,138563,0,0,
P0-2D_信息过载与线索稀释/Nutrition labels on pre-packaged foods - a systematic review_2011.pdf,_全文文本/P0-2D_信息过载与线索稀释/Nutrition labels on pre-packaged foods - a systematic review_2011.pdf.txt,ok,11,101978,55963,0,0,
P0-2D_信息过载与线索稀释/The influence of front-of-pack nutritional labels on eating and purchasing behaviors - narrative review_2022.pdf,_全文文本/P0-2D_信息过载与线索稀释/The influence of front-of-pack nutritional labels on eating and purchasing behaviors - narrative review_2022.pdf.txt,ok,15,102492,73265,0,0,
P0-2D_信息过载与线索稀释/The science on front-of-package food labels_2012.pdf,_全文文本/P0-2D_信息过载与线索稀释/The science on front-of-package food labels_2012.pdf.txt,ok,10,88942,47931,0,0,
P0-2D_信息过载与线索稀释/Warnings as a directive front-of-pack nutrition labelling scheme - comparison with GDA and traffic-light_2017.pdf,_全文文本/P0-2D_信息过载与线索稀释/Warnings as a directive front-of-pack nutrition labelling scheme - comparison with GDA and traffic-light_2017.pdf.txt,ok,10,81535,44626,0,0,
"P0-2E_信任与行为同测/Trust Management in Organic Agriculture_ Sustainable Consumption Behavior, Environmentally Conscious Purchase Intention, and Healthy Food Choices_2019.pdf","_全文文本/P0-2E_信任与行为同测/Trust Management in Organic Agriculture_ Sustainable Consumption Behavior, Environmentally Conscious Purchase Intention, and Healthy Food Choices_2019.pdf.txt",ok,7,50404,34909,0,0,
P0-2F_菜单餐饮场景/Menu labelling is effective in reducing energy ordered and consumed_ a systematic review and meta-analysis of recent studies_2015.pdf,_全文文本/P0-2F_菜单餐饮场景/Menu labelling is effective in reducing energy ordered and consumed_ a systematic review and meta-analysis of recent studies_2015.pdf.txt,ok,16,164487,68274,0,0,
